Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"DeclineChatJoinRequest.java",6,0,6,0,2,,,,,2,0,3,4,,4,4,2,,,,4,,0,0,0,4,,71,9,55,39,11,9,,24,32,24,8,,3,,1,,,0,16,6
File,"DefaultAbilities.java",14,1,11,3,1,,,,,1,0,11,39,,39,18,1,,,,18,,0,6,1,11,,479,42,337,132,220,100,,163,197,128,101,,4,,2,,,0,30,56
File,"DefaultAbsSender.java",17,1,16,0,3,,,,,2,0,1,72,,72,56,7,,,,56,,0,9,5,42,,1231,135,1061,247,690,35,,526,752,213,626,,17,,3,,,0,03,238
File,"DefaultBot.java",4,0,4,0,1,,,,,1,1,2,20,,20,10,0,,,,11,,0,0,0,11,,102,14,88,29,49,0,,27,39,28,11,,1,,0,,,0,00,20
File,"DefaultBotCommand.java",8,0,3,5,1,,,,,1,0,0,3,,4,4,0,,,,4,,0,0,0,4,,53,6,18,12,2,29,,8,12,10,2,,1,,0,,,1,61,3
File,"DefaultBotOptions.java",3,0,3,0,1,,,,,2,0,0,27,,25,27,16,,,,27,,0,0,0,27,,155,29,109,52,30,17,,50,77,47,30,,1,,0,,,0,16,25
File,"DefaultBotSession.java",15,1,13,0,3,,,,,4,0,1,16,,17,16,15,,,,16,,1,2,0,13,,323,43,271,89,146,9,,135,186,78,122,,9,,5,,,0,03,49
File,"DefaultChatIdConverter.java",4,0,4,0,1,,,,,1,0,0,5,,5,5,1,,,,5,,0,0,0,5,,34,8,26,14,6,0,,10,16,10,6,,1,,0,,,0,00,5
File,"DefaultChatSessionContext.java",4,0,4,0,1,,,,,1,0,0,5,,5,5,2,,,,5,,0,0,0,5,,37,8,29,17,6,0,,12,18,12,6,,1,,0,,,0,00,5
File,"DefaultExceptionMapper.java",5,0,5,0,1,,,,,1,0,1,1,,1,1,0,,,,1,,0,0,0,1,,23,4,13,9,3,6,,8,10,8,3,,1,,0,,,0,46,1
File,"DefaultSender.java",4,0,4,0,1,,,,,1,0,1,22,,22,22,1,,,,22,,0,0,0,22,,139,27,107,62,23,5,,40,63,41,23,,1,,0,,,0,05,22
File,"DefaultToggle.java",4,0,4,0,1,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,19,3,12,7,2,4,,4,7,5,2,,1,,0,,,0,33,2
File,"DefaultToggleTest.java",8,1,8,0,1,,,,,1,0,0,5,,5,5,3,,,,5,,2,0,0,3,,69,12,57,34,23,0,,35,41,26,18,,1,,0,,,0,00,5
